rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof,is_nel_ranked
38,verlaju01,Justin Verlander,SP,DET,3567.6666666666665,3550.3333333333335,18.0,266,158,0,3553,555,555,3.3223395309726245,1.1351957395122863,137.50754056327713,82.28,10.217161472543971,0.5755606875904967,0.5782006409292869,0.7928587999061113,0.6062909690327194,0.7392925578154882,-0.3632087798799435,2005,2025,False,False
39,jenkife01,Fergie Jenkins,SP,CHN,4500.666666666667,4488.333333333332,18.0,284,226,7,3192,664,594,3.337505554732632,1.1418308398755739,116.90404816592579,82.18,10.08543348619795,0.44940661654056974,0.22665341446061027,0.885686813855479,0.7454457106882965,0.35548472878637644,-0.48864528433387217,1965,1983,True,False
40,maricju01,Juan Marichal,SP,SFN,3507.3333333333335,3501.333333333333,15.0,243,142,2,2303,471,457,2.8893746436038774,1.1011214597985173,129.43324423541492,61.78,9.911117607734603,0.5661339075248251,0.6611713320107887,0.990857420717753,0.14613684481351755,0.8885084701619543,-0.5380234365240483,1960,1975,True,False
41,palmeji01,Jim Palmer,SP,BAL,3948.0,3930.333333333333,18.0,268,152,4,2212,558,521,2.856382978723404,1.1803444782168186,130.30969101039096,67.57,9.851685019100541,0.5013154958409233,0.8235727833258126,0.7545644260059808,-0.12463439928958815,0.9036834981740691,-0.48912388916864463,1965,1984,True,False
42,perryga01,Gaylord Perry,SP,SFN,5350.333333333333,5350.333333333334,22.0,314,265,11,3534,777,690,3.1052270886549125,1.1806741013020996,121.32995558713567,93.03,9.730705499905401,0.3637420285305116,0.4790187528474331,0.6542858217038083,0.3917024877003331,0.2505536146366646,-0.46192456287226047,1962,1983,True,False
43,mussimi01,Mike Mussina,SP,BAL,3562.6666666666665,3562.6666666666665,18.0,270,153,0,2813,537,536,3.6831961077844313,1.1915232035928145,126.22278684615485,82.78,9.670446348029339,0.5428768533699104,0.4662115415489709,0.909486933847769,0.3565743089032672,0.8220768422650102,-0.3677799571293007,1991,2008,True,False
44,roganbu99,Bullet Rogan,SP,KCM,1476.0,1465.3333333333335,9.0,115,52,17,900,210,155,2.7378048780487805,1.1531165311653115,166.57152297755968,37.32,9.608110150484398,1.3113890105301724,1.1691078334193141,1.2903676258139962,2.1090264197240245,1.1472258965820146,0.45269682460636546,1920,1938,True,True
45,riverma01,Mariano Rivera,RP,NYA,1283.6666666666667,1275.3333333333333,18.0,82,60,652,1173,1115,10,2.208517268242015,1.0002596728122566,224.96937912431196,56.27,9.545528329637321,1.4969464186571857,1.6916898142912347,1.8120256899795903,0.8151849859968355,0.4066498798377469,3.451040732933391,1995,2013,True,False
46,eckerde01,Dennis Eckersley,RP,BOS,3285.6666666666665,3246.0000000000005,23.0,197,171,390,2401,1071,361,3.5006594298468094,1.1607994318758244,131.5077397329367,62.25,9.471030305596381,0.5835508506220812,0.31178941017128214,0.9678652716828876,0.8223160179197411,0.18685687110986182,0.5248482083453726,1975,1998,True,False
47,newhoha01,Hal Newhouser,SP,DET,2993.0,2964.0,14.0,207,150,26,1796,488,374,3.0551286334781156,1.3107250250584697,140.17560406867918,60.07,9.393378450366129,0.6338312044781462,0.6547398979541179,0.39291936525590665,1.3076881015503978,0.5318322550488404,0.040123173557924066,1939,1955,True,False
48,salech01,Chris Sale,SP,CHA,2084.0,2055.0,13.0,145,88,12,2579,393,312,3.0100767754318616,1.0455854126679462,149.6645796994553,61.74,9.176521308711155,0.893092098171402,0.7888927115173802,1.133270080733784,1.493070516343556,0.7048902455052676,-0.33978375055652543,2010,2025,False,False
49,fostebi99,Willie Foster,SP,CAG,1500.0,1492.0,13.0,109,56,14,928,240,165,2.724,1.1673333333333333,168.57123026687754,45.64,9.064026914692949,1.2150170126934245,1.263600205791539,1.2995526256756935,1.8191039015695758,0.9703226430423426,0.163434959042326,1923,1937,True,True
50,coneda01,David Cone,SP,NYN,2898.6666666666665,2857.9999999999995,15.0,194,126,1,2668,450,419,3.461936522539099,1.2560947562097518,126.12037490333378,61.58,9.042233769522305,0.6327665339063895,0.5724633724855831,0.5655176764798927,1.2699894864022339,0.6688698058864616,-0.39500586792718795,1986,2003,False,False
51,drysddo01,Don Drysdale,SP,LAN,3432.0,3432.0,14.0,209,166,6,2486,518,465,2.9475524475524475,1.1477272727272727,122.97478332530889,61.339999999999996,8.956747253463773,0.5219549681505695,0.6606317504554808,0.7759433607850448,0.7048619896752166,0.3527915356406683,-0.4871951472273884,1956,1969,True,False
52,jossad01,Addie Joss,SP,CLE,2327.0,2327.0000000000005,9.0,160,97,5,920,286,260,1.88740868070477,0.9677696605070907,147.8114514324676,47.68,8.944391643305849,0.768748744590103,1.0660119856210535,1.4820097797517324,-0.10672322500659207,0.788199420014925,-0.04551935754760221,1902,1910,True,False
53,bunniji01,Jim Bunning,SP,DET,3760.3333333333335,3760.3333333333335,17.0,224,184,16,2855,591,519,3.2693910114351565,1.178884850633809,120.06985399253111,60.38,8.681988327568053,0.4617669529776465,0.33309726395030237,0.6500266159111285,0.9252474657888915,0.3446346351083216,-0.37990437167153773,1955,1971,True,False
54,radboch01,Old Hoss Radbourn,SP,PRO,4527.333333333333,4527.333333333333,11.0,310,194,2,1830,527,502,2.677735237814755,1.1492416433514947,130.0377677853619,73.2,8.676931929865047,0.38331314665874167,0.5238346366655096,0.5045648302873991,-0.10213851089837604,0.5995648065535999,0.2672802078946967,1881,1891,True,False
55,woodjo02,Smoky Joe Wood,SP,BOS,1434.3333333333333,1393.3333333333333,7.0,117,57,11,989,225,158,2.033000232396003,1.0869161050429934,151.7036156528159,30.23,8.58029016701211,1.2316205981357096,1.0990757695278461,1.0996815621535898,2.1919938267695334,1.171193452926727,0.09293809276098268,1908,1920,False,False
56,gomezle01,Lefty Gomez,SP,NYA,2503.0,2471.0000000000005,12.0,189,102,9,1468,368,320,3.34398721534159,1.3523771474230923,132.96863413020017,43.21,8.530841863347717,0.6904768808860959,0.6528747735898451,0.35915171068907253,1.3729116268706443,0.9427499868932839,-0.256620629364193,1930,1943,True,False
57,santajo01,Johan Santana,SP,MIN,2025.6666666666667,2025.6666666666665,12.0,139,78,1,1988,360,284,3.2033898305084745,1.1319730129998353,143.1832796224729,51.08,8.441350192939971,0.8334392160217184,0.8299549590842406,1.085046031085689,1.1190715189792901,0.8399282369989869,-0.34658399962215813,2000,2012,False,False
58,marbefi01,Firpo Marberry,RP,WS1,2067.3333333333335,2034.0,12.0,148,88,101,822,551,187,3.6307642695904545,1.3229603353756851,118.62399273611572,31.71,8.40006418638228,0.8259650134102539,0.4159033102214676,0.47700662941468125,0.2917873589449892,0.8310709674413673,3.759190201467791,1923,1936,False,False
59,roberro01,Robin Roberts,SP,PHI,4688.666666666667,4688.666666666667,19.0,286,245,25,2357,676,609,3.405232475472771,1.169628892364567,117.85615807217908,83.02,8.332435556783176,0.3554287881465879,0.39029161832411813,0.9833277529742972,-0.10010701252675212,0.2426911570280927,-0.16492883578283993,1948,1966,True,False
60,fingero01,Rollie Fingers,RP,OAK,1701.3333333333333,1700.0,16.0,114,118,341,1299,944,37,2.9041927899686524,1.155564263322884,132.59229718157926,24.99,8.270503950644713,0.9730004647817311,0.783262921170084,0.9341645149529484,1.1609707546063825,-0.06153354490366071,3.142732697082049,1968,1985,True,False
61,guidrro01,Ron Guidry,SP,NYA,2392.0,2360.3333333333335,12.0,170,91,4,1778,368,323,3.2884615384615383,1.1835284280936456,127.07440538270457,47.85,8.26969021625191,0.7007222327003453,0.5374178111998443,0.8627061541774508,0.9888381981231885,0.9827102530373376,-0.43618448876083854,1975,1988,False,False
62,mcginjo01,Joe McGinnity,SP,NY1,3441.3333333333335,3441.3333333333335,10.0,246,142,24,1068,465,381,2.657109647423479,1.1879116621464547,125.08437681172725,62.36,8.268766462790666,0.48055597420325447,0.3699836715305002,0.41014270190472946,-0.49391892229356543,0.9307213436500261,1.9816389657315483,1899,1908,True,False
63,rootch01,Charlie Root,SP,CHN,3197.3333333333335,3197.3333333333335,17.0,201,160,40,1459,632,341,3.5861134278565467,1.2951417848206839,113.29528416750715,37.519999999999996,8.258837517036275,0.5166078513575652,0.43772129909592417,0.6259142692270913,0.5760550487002921,0.36441165065351727,0.6426369238223603,1923,1941,False,False
64,mullato01,Tony Mullane,SP,CN2,4531.333333333333,4531.333333333333,13.0,284,220,15,1803,555,504,3.0527438575842285,1.236501397675445,122.86517608903672,61.0,8.159192877262901,0.3601232695569914,0.3675479249621676,0.3461171714688227,0.011092191080113742,0.3511062749428991,1.0926730224464116,1881,1894,False,False
65,piercbi02,Billy Pierce,SP,CHA,3306.6666666666665,3296.6666666666665,17.0,211,169,32,1999,585,432,3.268850806451613,1.2601814516129033,124.50177984672715,53.32,8.022609852623447,0.48671040561921813,0.600656463226217,0.5937536213229577,0.7127076769667633,0.3281946278607427,-0.19012846614692386,1945,1964,False,False
66,spaldal01,Al Spalding,SP,BS1,2886.333333333333,2875.333333333333,6.0,251,65,13,248,347,325,2.13280979327867,1.1932093775262733,134.27819519186335,53.37,7.949116386788815,0.5529179030921969,0.576501754638386,0.4073450653229967,-0.2541317221784635,1.2247171298764834,1.021776481317559,1871,1877,False,False
67,goodedw01,Dwight Gooden,SP,NYN,2800.6666666666665,2800.6666666666665,16.0,194,112,3,2293,430,410,3.5059509640561775,1.2561294929778626,120.88328546772715,48.15,7.84506167803171,0.5602281607735096,0.4681607058633464,0.5126208585533797,0.9260369655535533,0.8568101194428986,-0.4153664732996252,1984,2000,False,False
68,brownke01,Kevin Brown,SP,TEX,3256.3333333333335,3228.0000000000005,17.0,211,144,0,2397,486,476,3.275156106049749,1.2222335960691983,135.7985733887828,68.21,7.818555008535948,0.48442100424634116,0.7265329712585794,0.7413043325011819,0.20115052471609507,0.5784095712388115,-0.38450340884580536,1986,2005,False,False
