rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof
32,gibsobo01,Bob Gibson,SP,SLN,3884.333333333333,3884.3333333333335,17.0,251,174,6,3117,528,482,2.9147858920449674,1.1881060671071828,137.8397642480502,81.7,11.281599286395242,0.5808769906322101,0.6418298825948489,0.5129644293270805,1.118234732317229,0.593025042179586,-0.5007354224763525,1959,1975,True
33,bendech01,Charles Bender,SP,PHA,3017.0,3015.9999999999995,15.0,212,127,34,1711,459,334,2.4550878355982766,1.1126947298641034,118.95909482783641,42.81,11.17711888651278,0.7411882550737918,0.4030690286842694,0.6913643409981909,1.1719127871076371,0.7970813536436901,0.7378108450291128,1903,1925,True
34,wilheho01,Hoyt Wilhelm,RP,CHA,2254.3333333333335,2209.0,19.0,143,122,227,1610,1070,52,2.523140618068904,1.1245009611119325,159.14011099444406,49.69,11.096200691503665,1.004635644319028,1.2289819662824595,1.073579968954067,0.9413601978536066,0.2689060429309677,1.869419123529815,1952,1972,True
35,scherma01,Max Scherzer,SP,WAS,2536.6666666666665,2536.666666666667,14.0,190,97,0,3020,407,398,3.157687253613666,1.0837056504599212,135.2977525513901,73.85,10.82108856756313,0.8531738686646355,0.6523908597457532,0.9905350739237654,1.3930116655263296,0.9726621835278693,-0.3530558284728716,2008,2021,False
36,fordwh01,Whitey Ford,SP,NYA,3170.3333333333335,3170.3333333333335,16.0,236,106,10,1956,498,438,2.7451372095468405,1.2150141940910524,135.78783241798007,53.58,10.801888328308793,0.6814354954248003,1.034848833948502,0.6209765685643827,0.3473493328614117,1.2049926950473886,-0.42989260785180944,1950,1967,True
37,newhoha01,Hal Newhouser,SP,DET,2993.0,2964.0,14.0,207,150,26,1796,488,374,3.0551286334781156,1.3107250250584697,140.17560406867918,60.07,10.641860944535171,0.7180742877554097,0.7016793230596499,0.4153332917516782,1.6471180662041962,0.5573796235269971,-0.020784038936610558,1939,1955,True
38,jenkife01,Fergie Jenkins,SP,CHN,4500.666666666667,4488.333333333332,18.0,284,226,7,3192,664,594,3.337505554732632,1.1418308398755739,116.90404816592579,82.18,10.08543348619795,0.44940661654056974,0.22665341446061027,0.885686813855479,0.7454457106882965,0.35548472878637644,-0.48864528433387217,1965,1983,True
39,maricju01,Juan Marichal,SP,SFN,3507.3333333333335,3501.333333333333,15.0,243,142,2,2303,471,457,2.8893746436038774,1.1011214597985173,129.43324423541492,61.78,9.911117607734603,0.5661339075248251,0.6611713320107887,0.990857420717753,0.14613684481351755,0.8885084701619543,-0.5380234365240483,1960,1975,True
40,palmeji01,Jim Palmer,SP,BAL,3948.0,3930.333333333333,18.0,268,152,4,2212,558,521,2.856382978723404,1.1803444782168186,130.30969101039096,67.57,9.851685019100541,0.5013154958409233,0.8235727833258126,0.7545644260059808,-0.12463439928958815,0.9036834981740691,-0.48912388916864463,1965,1984,True
41,gomezle01,Lefty Gomez,SP,NYA,2503.0,2471.0000000000005,12.0,189,102,9,1468,368,320,3.34398721534159,1.3523771474230923,132.96863413020017,43.21,9.828870959067103,0.7955379165574343,0.7142036941027338,0.44184577344567455,1.7042551444189247,0.9927834689155302,-0.3288217299655889,1930,1943,True
42,perryga01,Gaylord Perry,SP,SFN,5350.333333333333,5350.333333333334,22.0,314,265,11,3534,777,690,3.1052270886549125,1.1806741013020996,121.32995558713567,93.03,9.730705499905401,0.3637420285305116,0.4790187528474331,0.6542858217038083,0.3917024877003331,0.2505536146366646,-0.46192456287226047,1962,1983,True
43,mussimi01,Mike Mussina,SP,BAL,3562.6666666666665,3562.6666666666665,18.0,270,153,0,2813,537,536,3.6831961077844313,1.1915232035928145,126.22278684615485,82.78,9.670446348029339,0.5428768533699104,0.4662115415489709,0.909486933847769,0.3565743089032672,0.8220768422650102,-0.3677799571293007,1991,2008,True
44,riverma01,Mariano Rivera,RP,NYA,1283.6666666666667,1275.3333333333333,18.0,82,60,652,1173,1115,10,2.208517268242015,1.0002596728122566,224.96937912431196,56.27,9.545528329637321,1.4969464186571857,1.6916898142912347,1.8120256899795903,0.8151849859968355,0.4066498798377469,3.451040732933391,1995,2013,True
45,rootch01,Charlie Root,SP,CHN,3197.3333333333335,3197.3333333333335,17.0,201,160,40,1459,632,341,3.5861134278565467,1.2951417848206839,113.29528416750715,37.519999999999996,9.542913538456942,0.5969295374347544,0.48040421889460194,0.7138744172918688,0.8588485889077374,0.40012150373492256,0.47773922108474515,1923,1941,False
