rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof,is_nel_ranked
781,wyseha01,Hank Wyse,SP,CHN,1257.6666666666665,1205.6666666666667,6.0,79,70,8,362,251,159,3.520805724887358,1.3604558706599525,112.31848178733607,12.43,-0.4726529631034706,-0.07840524685155717,0.1366983366771394,0.146549688329512,-0.9188231720162656,0.22860825090409922,-0.11174268880786742,1942,1951,False,False
782,leitema01,Mark Leiter,RP,DET,1184.3333333333333,1120.6666666666665,8.0,65,73,26,892,335,149,4.57472558401351,1.375457359977484,94.7133407711214,3.76,-0.48054329132930573,-0.08576025425270181,-0.3221176029374032,-0.04763863617011242,0.2915728405045645,-0.18829367427755037,-0.13977027721225704,1990,2001,False,False
783,zimmejo02,Jordan Zimmermann,SP,WAS,1614.0,1571.6666666666667,10.0,95,91,0,1271,279,275,4.070631970260223,1.2509293680297398,107.90552878309876,21.360000000000003,-0.4830832194263653,-0.061474004592962685,-0.09219217787239323,0.1927450718546111,-0.36444964884707565,0.11179397849334763,-0.3608109401777154,2009,2021,False,False
784,mayerer01,Erskine Mayer,SP,PHI,1427.0,1405.6666666666665,7.0,91,70,6,482,245,165,2.9579537491240364,1.2333566923615977,104.13031629135098,12.77,-0.48484796531888097,-0.06898477097257022,-0.1205301960661779,0.02047098582987033,-0.6038919464931038,0.4614172862994828,-0.15475036374769044,1912,1919,False,False
785,figueed01,Ed Figueroa,SP,NYA,1309.6666666666667,1301.3333333333335,7.0,80,67,1,571,200,179,3.5115805548485617,1.330109442606261,109.22616228844758,15.87,-0.517831788782855,-0.07958480360392241,0.19953457540415112,0.01610325064576946,-0.6713993535076275,0.260233805848828,-0.5126115058464262,1974,1981,False,False
786,burdele01,Lew Burdette,SP,ML1,3067.3333333333335,3043.333333333333,15.0,203,144,31,1074,626,373,3.655944359921756,1.2434253423168875,102.16661737973058,25.51,-0.5310517903490348,-0.034899350953934365,0.10427639701083086,0.4837929645577903,-1.3850864784467767,0.5659157766693406,-0.18082550990602445,1950,1967,False,False
787,whitsed01,Ed Whitson,SP,SDN,2240.0,2224.333333333333,14.0,126,123,8,1266,452,333,3.7928571428571427,1.3116071428571427,103.33947664676381,22.66,-0.531295336660514,-0.04777119766166767,-0.009906970650688532,0.08775866634394991,-0.18752904411256485,0.06142166335962364,-0.4201264543439478,1977,1991,False,False
788,loopebr01,Braden Looper,RP,SLN,1176.0,1172.6666666666667,11.0,72,65,103,669,670,97,4.1479591836734695,1.373299319727891,106.29140217759836,7.1499999999999995,-0.5323711080073349,-0.09079666424229703,0.08479600755414085,-0.02061172285599557,-0.8549919484508866,0.14644571002713183,0.34866512267917604,1998,2009,False,False
789,phoebto01,Tom Phoebus,SP,BAL,1030.0,1008.0,6.0,56,52,6,725,201,149,3.329126213592233,1.336893203883495,104.76316757778827,6.26,-0.5337723309547207,-0.10590720852276203,-0.06723451623561867,-0.5353198682167707,0.38278252149006053,0.08280881403727033,-0.483868795151308,1966,1972,False,False
790,brilene01,Nelson Briles,SP,SLN,2111.6666666666665,2111.666666666667,14.0,129,112,22,1163,452,279,3.4394632991318077,1.2729281767955802,106.48757716536244,20.349999999999998,-0.5431013684834539,-0.05143817223205561,-0.006258111085122431,0.028924676035665207,-0.3962135378582426,0.2561236065255415,-0.2908682720315109,1965,1978,False,False
791,muncrbo01,Bob Muncrief,SP,SLA,1401.3333333333335,1393.3333333333335,9.0,80,82,9,525,288,165,3.8020932445290194,1.3522835394862034,105.37042332035271,15.669999999999998,-0.5455921667820463,-0.078314665088332,-0.1704176605483549,0.09399309102909793,-0.24034994513824348,0.0544181170626711,-0.2202215709340323,1937,1951,False,False
