playerID,yearID,z_AVG,z_ISO,z_BB,z_SB,z_DEF,PA
alomaro01,1990,0.79499178070603,-0.7425368908526666,-0.4471348786309043,0.6273372799280325,0.3690684794447238,646.0
alomaro01,1991,1.0929632607491147,0.10867500259278498,-0.30974891164702795,2.3112614794005935,-0.6821330642084736,719.0
alomaro01,1992,1.708519665457468,-0.18270765749726967,1.1914244707368127,2.211241784456458,-1.7528196560945097,671.0
alomaro01,1993,1.725383789898431,0.3626755685307663,0.7777990765317785,2.7662854286385774,-1.1914278814957817,683.0
alomaro01,1994,0.9578410242614821,-0.23428841795905853,0.5400575880523197,1.0548281352314082,-1.5941030286253606,455.0
alomaro01,1995,0.8041180974219462,-0.12978865791089703,-0.3622332179298849,1.4225824018772497,0.054539244108436635,577.0
alomaro01,1996,1.6351460802466073,0.4911296901550841,0.9422028339459149,0.23312229609083387,1.2194411562624266,699.0
alomaro01,1997,2.017284911312346,0.13626244927523892,-0.2020323712943248,-0.05355017932852191,0.3701016585613688,469.0
alomaro01,1998,0.27203997861117263,-0.41250918149680516,-0.04337963881934398,0.46588338399179374,0.7700599790206313,657.0
alomaro01,1999,1.3856305712255208,0.5799061630702125,1.2407716696264277,1.7034634647685527,0.2642790926455325,694.0
alomaro01,2000,1.0269170315335048,-0.15042907099472858,-0.2342570751976301,2.2490885874240756,0.2784431006649787,697.0
alomaro01,2001,2.105298798297221,0.5013307948832296,0.8361006965068735,1.5503237527690994,-0.41165650851888047,677.0
alomaro01,2002,-0.043406113444039156,-0.8956302336075964,-0.11532022501119706,0.599972822674092,-1.7164052986967862,655.0
alomaro01,2003,-0.41519451491823006,-1.1959876180558588,0.2902177765061368,0.36745823722996657,-0.576052860140469,598.0
alomasa01,1968,0.16748209127016261,-1.5446781674443337,-0.9788166354287727,2.2331906368249337,-0.4606366137184209,395.0
alomasa01,1969,-0.39985478319315043,-1.6839221648274065,-0.985332374297454,0.9321333092409871,-0.41406730376194173,662.0
alomasa01,1970,-0.4818025562370999,-1.6521438142419895,-0.8380031129090195,2.076123975085282,1.0076782562121678,735.0
alomasa01,1971,-0.02801403028802297,-1.1895038833312874,-0.9864120058640579,2.6312979083521304,1.4623464152196606,739.0
alomasa01,1972,-0.49192613211169034,-1.3441431545553313,-0.5619923711471047,0.8631996142886447,-0.5540484558863898,666.0
alomasa01,1973,-0.8725046050907921,-1.8558730200345501,-0.7568779543473945,1.8092544681983405,-0.13973121033989672,519.0
alomasa01,1974,-0.09303188524232375,-1.5913029070108733,-1.2756654923670105,0.19676461911588547,-0.5091532438212125,356.0
alomasa01,1975,-0.763321816114029,-1.1275945540470438,-1.2288424957059911,1.699373295541402,-0.4924588287723385,528.0
aloufe01,1958,-0.5025770226369857,-0.18179659400055048,0.05664472755407485,0.9985287416981751,0.5276569612862562,204.0
aloufe01,1959,0.22391946709093205,0.7300100774036278,-0.8781702338568436,0.767504273244119,-0.9081758371763136,268.0
aloufe01,1960,-0.08457267036902025,0.020081608599993996,-1.4327388908812169,1.3019648196073212,-0.8400025360055222,347.0
aloufe01,1961,0.6136585790824153,0.3153096738760039,-1.1437056114682238,1.2193482528376292,-0.7058815177712483,447.0
aloufe01,1962,1.4849409533793536,0.8680978852841047,-1.105338800769368,0.3244029317165478,-0.9578321206132264,606.0
aloufe01,1963,0.8386898700385035,0.9820689455058295,-1.3174904348797365,0.5709144252005484,-0.4464358628762032,607.0
aloufe01,1964,-0.3089337118158617,0.05048712077758218,-0.5450561835392083,0.02235450116757624,0.5764177903926587,455.0
aloufe01,1965,1.326102282952563,0.7966989019716281,-1.0868210874161868,0.016012082984741716,-0.49023977410631187,599.0
aloufe01,1966,2.264381304491732,1.130200205601291,-1.4757346257867157,-0.3898507960880037,0.11597888922682395,706.0
aloufe01,1967,0.5709272138556815,0.17070171219173708,-1.0601506939247498,-0.19177129020256234,-1.5434816061203578,617.0
aloufe01,1968,2.2143549300718353,0.13195010279414277,-0.4565059626114738,0.1367894388768648,1.5792679286033338,718.0
aloufe01,1969,0.6306822059674461,-1.158411308068157,-1.3986765016555653,-0.36879007428359156,1.1426910086062754,509.0
aloufe01,1970,0.13247671574655556,-0.7860783171661486,-1.2324864276729501,0.10090033452658616,-0.03334263570766313,618.0
aloufe01,1971,0.8472189859509865,-0.0947071013413984,-0.7850742123441246,-0.24677042371847951,-1.2905568388493076,510.0
aloufe01,1972,0.7326155813657548,-0.06699094965826752,-0.7954271712180785,-0.6658232840147024,-0.14806820090228753,351.0
