saa_rank,name,SAA_final,bWAR,bwar_rank,bWAA,bwaa_rank,JAWS,jaws_rank,WAR7,d_war,d_waa,d_jaws,z_AVG_career,z_ISO_career,z_BB_career,z_SB_career,z_DEF_career,qualifying_seasons,is_hof,is_nel_ranked
863.0,Brook Jacoby,0.3373747043011159,14.97,931.0,-1.5200000000000005,841.0,15.935000000000002,910.0,16.900000000000002,68.0,-22.0,47.0,0.1878020276737571,-0.0889210828648057,-0.0235882540817573,-0.5911215411153392,-0.3262492084101107,9.0,False,False
864.0,Jack Burdock,0.3330041940431111,14.969999999999999,932.0,-2.4900000000000007,866.0,14.965,938.0,14.96,68.0,2.0,74.0,-0.3105766103277927,-0.2944462585485345,-0.3470158646702756,-0.2031180493385307,-0.2161785407904971,15.0,False,False
865.0,Omar Infante,0.3326495091464353,17.02,879.0,-2.01,852.0,16.605,889.0,16.19,14.0,-13.0,24.0,0.100782006999226,-0.5029797700895573,-0.9684681455992392,-0.1637193958815608,0.2698735263167965,12.0,False,False
866.0,Brandon Inge,0.3326247223848382,19.17,839.0,-0.8099999999999999,821.0,19.375,810.0,19.580000000000002,-27.0,-45.0,-56.0,-1.175208645275635,-0.1616394683947432,-0.1957432582405048,-0.2624429154617826,1.5147911329316914,12.0,False,False
867.0,Duff Cooley,0.3289988243255468,15.129999999999999,928.0,-4.73,924.0,15.534999999999998,923.0,15.939999999999998,61.0,57.0,56.0,-0.0623675536612184,-0.2666669505848421,-0.524309176758472,-0.3442233794853901,0.1516711532611963,12.0,False,False
868.0,Charlie Hemphill,0.313891620600931,15.909999999999997,906.0,-3.3200000000000003,891.0,16.07,906.0,16.23,38.0,23.0,38.0,-0.0613319310297958,-0.4171417956214555,0.3047508084406697,0.0960832260915584,-0.6250655306276266,11.0,False,False
869.0,Jose Cruz,0.3126079447329141,19.56,821.0,1.2700000000000002,763.0,17.97,847.0,16.38,-48.0,-106.0,-22.0,-0.9423402010705554,0.3597962521333853,0.7619491288530176,0.0510654761868544,0.228617953498818,11.0,False,False
870.0,Red Kress,0.3051125525463756,14.040000000000001,948.0,-6.5051000000000005,964.0,14.790000000000001,942.0,15.540000000000001,78.0,94.0,72.0,-0.1113765753940891,0.0848229759719371,-0.1084411580648193,-0.3690744036835907,-0.2383098632323621,11.0,False,False
871.0,Dan Driessen,0.304947377099443,20.560000000000002,794.0,-0.46000000000000035,810.0,18.09,844.0,15.62,-77.0,-61.0,-27.0,-0.1465781094220317,0.0649703541722874,0.8322814996192993,0.3898241472402587,-0.8745354743068402,13.0,False,False
872.0,Freddy Parent,0.2990942636258677,35.75,436.0,14.730000000000002,381.0,34.0,391.0,32.25000000000001,-436.0,-491.0,-481.0,-0.0708263778959669,-0.154045041093544,-0.350915103888703,-0.2455987920630882,-0.1095795684313088,10.0,False,False
873.0,Pat Kelly,0.2755172495290146,11.709999999999999,988.0,-5.79,948.0,10.879999999999999,1012.0,10.049999999999999,115.0,75.0,139.0,-0.1027085546759535,-0.5192660689829194,0.6781560547687543,1.7734375484295288,-0.6488980061280467,11.0,False,False
874.0,Bret Boone,0.2741596968180829,22.820000000000004,727.0,-1.3099999999999992,834.0,23.995000000000005,670.0,25.170000000000005,-147.0,-40.0,-204.0,-0.2717912580703,0.4194888704186856,-0.3770930772216874,-0.4196494323455413,-0.8215117598826636,13.0,False,False
875.0,Horace Clarke,0.2536153521024867,15.67,916.0,-2.0100000000000002,854.0,15.51,925.0,15.35,41.0,-21.0,50.0,-0.0757291717221527,-0.9164908244177584,-0.4587803894853994,0.8829375861167299,1.2137068387660972,8.0,False,False
876.0,Wilbert Robinson,0.2530203330852028,6.48,1041.0,-10.21,1020.0,7.115,1046.0,7.75,165.0,144.0,170.0,-0.1358765269110442,-0.571164810591716,-0.7489178743158806,-0.2421683777644574,0.6180251110195808,16.0,False,False
877.0,Billy Butler,0.2481831442807021,11.77,985.0,-8.399999999999999,1001.0,12.36,985.0,12.950000000000001,108.0,124.0,108.0,0.8032258607554,-0.2996994024848713,-0.1126854830493149,-0.6007704905327533,-0.9226634260513288,10.0,False,False
